区站号,Y,X,降雨量,降雨量20-26,总降雨量
50983,45.76666667,132.9666667,1.2,0.0,1.2
50985,45.55,131.8666667,1.3,1.2,2.5
50987,45.26666667,131.1,35.1,7.1,42.2
51053,48.05,86.4,10.5,7.7,18.2
51058,47.1,87.96666667,0.2,0.0,0.2
51060,47.7,86.86666667,2.3,0.3,2.5999999999999996
51068,47.11666667,87.46666667,0.8,0.8,1.6
51076,47.73333333,88.08333333,0.8,0.5,1.3
51087,46.98333333,89.51666667,1.0,0.0,1.0
51133,46.73333333,83.0,1.5,0.0,1.5
51137,46.2,82.93333333,1.1,0.5,1.6
51145,46.55,83.65,0.3,0.0,0.3
51156,46.78333333,85.71666667,4.5,0.3,4.8
51232,45.18333333,82.56666667,3.2,1.9,5.1
51238,44.9,82.06666667,3.7,0.0,3.7
51241,45.93333333,83.6,9.8,0.2,10.0
51243,45.61666667,84.85,2.6,0.0,2.6
51334,44.56666667,82.81666667,2.2,0.7000000000000001,2.9000000000000004
51357,44.33333333,85.61666667,0.9,0.0,0.9
51359,44.31666667,86.2,1.3,0.0,1.3
51367,44.16666667,86.85,2.0,0.0,2.0
51368,44.11666667,87.31666667,0.0,0.0,0.0
51369,43.96666667,87.65,1.4,0.0,1.4
51377,44.16666667,87.91666667,0.8,0.0,0.8
51378,44.01666667,89.16666667,0.7,0.1,0.7999999999999999
51469,43.45,87.18333333,4.9,0.0,4.9
51470,43.88333333,88.11666667,5.9,0.0,5.9
51477,43.35,88.31666667,0.3,0.0,0.3
51482,43.83333333,90.28333333,0.0,0.0,0.0
51526,42.23333333,88.21666667,0.0,0.0,0.0
51542,43.03333333,84.15,1.7,1.3,3.0
51567,42.08333333,86.56666667,0.2,0.0,0.2
51571,42.8,88.63333333,0.0,0.0,0.0
51572,42.83333333,89.25,0.0,0.0,0.0
51573,42.93333333,89.2,0.0,0.0,0.0
51627,41.21666667,79.23333333,38.1,13.0,51.1
51628,41.16666667,80.23333333,27.7,9.8,37.5
51636,41.55,82.65,2.0,0.5,2.5
51639,41.23333333,82.78333333,2.2,0.0,2.2
51656,41.75,86.13333333,0.2,0.0,0.2
51704,39.71666667,76.16666667,19.1,3.2,22.3
51705,39.71666667,75.25,22.5,4.8,27.3
51707,39.5,76.73333333,12.2,7.2,19.4
51709,39.48333333,75.75,36.4,3.5,39.9
51717,39.25,76.78333333,12.6,10.6,23.2
51720,40.5,79.05,45.1,23.7,68.8
51722,40.65,80.4,18.4,6.2,24.599999999999998
51730,40.55,81.26666667,11.1,0.1,11.2
51747,39.0,83.66666667,0.0,0.0,0.0
51765,40.63333333,87.7,0.0,0.0,0.0
51802,38.93333333,76.16666667,7.6,5.9,13.5
51810,38.91666667,77.63333333,16.4,4.4,20.799999999999997
51811,38.43333333,77.26666667,8.9,4.1,13.0
51814,37.91666667,77.4,10.5,7.1,17.6
51815,38.2,77.26666667,13.9,3.7,17.6
51818,37.61666667,78.28333333,48.6,41.0,89.6
51826,37.01666667,80.8,7.2,6.2,13.4
51827,37.16666667,79.63333333,11.3,10.0,21.3
51828,37.13333333,79.93333333,13.6,11.0,24.6
51829,37.08333333,80.16666667,13.2,10.0,23.2
51839,37.06666667,82.71666667,0.4,0.0,0.4
51855,38.15,85.55,0.0,0.0,0.0
51931,36.85,81.65,5.8,3.3,9.1
52101,43.6,93.05,38.6,15.0,53.6
52112,43.75,94.98333333,15.6,15.2,30.799999999999997
52118,43.26666667,94.7,16.1,9.0,25.1
52203,42.81666667,93.51666667,5.1,1.5,6.6
52313,41.53333333,94.66666667,10.5,6.6,17.1
52323,41.8,97.03333333,1.9,1.3,3.2
52515,39.51666667,94.86666667,5.3,3.9,9.2
52533,39.76666667,98.48333333,11.5,11.3,22.8
52546,39.36666667,99.83333333,0.9,0.9,1.8
52557,39.15,100.1666667,0.9,0.9,1.8
52602,38.75,93.33333333,2.0,1.3,3.3
52643,38.83333333,99.61666667,18.9,18.9,37.8
52652,39.08333333,100.2833333,1.6,1.6,3.2
52656,38.43333333,100.8166667,8.3,8.2,16.5
52674,38.23333333,101.9666667,2.1,2.1,4.2
52679,37.91666667,102.6666667,2.0,2.0,4.0
52681,38.63333333,103.0833333,3.8,3.8,7.6
52707,36.8,93.68333333,0.0,0.0,0.0
52784,37.46666667,102.9,13.8,13.8,27.6
52787,37.2,102.8666667,13.6,12.1,25.7
52797,37.18333333,104.05,2.1,2.1,4.2
52818,36.41666667,94.91666667,0.2,0.2,0.4
52825,36.43333333,96.43333333,2.1,2.1,4.2
52836,36.3,98.1,71.1,71.1,142.2
52854,36.58333333,100.4833333,46.0,46.0,92.0
52856,36.26666667,100.6166667,30.4,28.8,59.2
52863,36.81666667,101.95,38.0,35.9,73.9
52866,36.73333333,101.75,42.5,42.5,85.0
52868,36.01666667,101.3666667,19.0,18.9,37.9
52869,36.5,101.5833333,52.9,47.8,100.69999999999999
52875,36.5,102.1,26.3,26.2,52.5
52876,36.33333333,102.8333333,28.4,26.5,54.9
52877,36.1,102.25,77.3,59.0,136.3
52881,36.98333333,103.1833333,14.3,6.9,21.200000000000003
52884,36.35,103.95,2.9,2.9,5.8
52885,36.75,103.25,29.0,10.5,39.5
52895,36.56666667,104.6833333,1.8,1.4,3.2
52896,36.55,104.15,26.8,0.8,27.6
52908,35.21666667,93.08333333,49.2,33.9,83.1
52941,36.26666667,100.2666667,39.0,38.1,77.1
52943,35.58333333,99.98333333,34.8,32.2,67.0
52955,35.58333333,100.7333333,24.1,18.9,43.0
52957,35.25,100.6,26.6,18.6,45.2
52963,35.93333333,102.0166667,50.3,41.6,91.9
52968,35.03333333,101.4666667,37.6,30.3,67.9
52972,35.85,102.45,48.4,46.6,95.0
52974,35.51666667,102.0166667,66.0,48.1,114.1
52978,35.2,102.5166667,38.9,24.8,63.7
52980,35.96666667,103.3,38.5,12.6,51.1
52981,35.68333333,103.3833333,24.0,14.7,38.7
52982,35.48333333,103.55,35.4,12.9,48.3
52983,35.86666667,104.15,17.8,10.2,28.0
52984,35.58333333,103.1833333,29.0,21.7,50.7
52985,35.41666667,103.3333333,73.3,55.9,129.2
52986,35.36666667,103.8666667,70.0,39.7,109.7
52988,35.36666667,103.7166667,68.5,44.1,112.6
52993,35.68333333,105.0666667,23.5,3.9,27.4
52995,35.58333333,104.6166667,36.2,8.200000000000001,44.400000000000006
52996,35.38333333,105.0166667,47.3,7.899999999999999,55.199999999999996
52998,35.13333333,104.2,73.7,8.9,82.60000000000001
53068,43.63333333,111.9333333,88.3,85.5,173.8
53083,44.61666667,114.15,131.8,120.7,252.5
53149,42.53333333,110.1333333,67.4,54.5,121.9
53192,44.01666667,114.95,94.6,93.8,188.39999999999998
53231,41.4,106.4,5.1,2.4,7.5
53289,42.23333333,113.8333333,57.0,50.1,107.1
53336,41.56666667,108.5166667,20.7,17.5,38.2
53337,41.1,108.2666667,23.0,16.099999999999998,39.099999999999994
53348,41.01666667,109.1333333,16.9,16.3,33.2
53352,41.7,110.4333333,71.9,58.5,130.4
53357,41.03333333,110.05,38.7,29.5,68.2
53362,41.53333333,111.6833333,21.6,15.3,36.900000000000006
53367,41.31666667,111.2333333,21.1,14.5,35.6
53368,41.08333333,111.4666667,28.3,8.6,36.9
53378,41.28333333,112.6166667,10.3,5.5,15.8
53384,41.45,113.1833333,27.7,23.1,50.8
53385,41.6,113.5333333,20.7,13.5,34.2
53391,41.9,114.0,24.4,13.9,38.3
53392,41.85,114.6,73.2,35.1,108.30000000000001
53397,41.1,113.9833333,42.3,42.3,84.6
53399,41.15,114.7,21.1,21.1,42.2
53419,40.33333333,107.0,5.1,3.7,8.8
53420,40.85,107.1166667,5.7,2.0,7.7
53433,40.73333333,108.65,25.8,14.7,40.5
53446,40.53333333,109.8833333,32.5,10.0,42.5
53455,40.55,110.5333333,11.5,6.2,17.7
53457,40.4,110.0333333,19.3,5.3,24.6
53463,40.85,111.5666667,43.4,25.0,68.4
53464,40.71666667,111.1666667,16.4,8.5,24.9
53466,40.75,111.7,15.4,10.4,25.8
53467,40.26666667,111.1833333,10.5,2.6,13.1
53469,40.4,111.8166667,14.2,1.8,16.0
53472,40.86666667,112.5666667,37.5,19.0,56.5
53475,40.51666667,112.4666667,25.7,6.8,32.5
53478,40.0,112.45,8.5,4.0,12.5
53480,41.03333333,113.0666667,12.0,9.4,21.4
53481,40.8,113.2166667,29.7,9.1,38.8
53483,40.86666667,113.8333333,95.6,20.6,116.19999999999999
53484,40.45,113.15,26.9,10.8,37.7
53486,40.36666667,113.7666667,4.6,3.5,8.1
53487,40.08333333,113.4166667,34.8,5.4,40.199999999999996
53488,40.03333333,113.5833333,37.6,5.499999999999999,43.1
53490,40.43333333,114.05,22.5,5.2,27.7
53491,40.66666667,114.3833333,47.1,6.0,53.1
53492,40.1,114.15,65.0,1.4,66.4
53498,40.56666667,115.0333333,24.3,3.6,27.900000000000002
53499,40.76666667,114.7333333,11.6,8.4,20.0
53512,39.8,106.8,7.9,2.9,10.8
53513,40.73333333,107.3666667,9.1,6.1,15.2
53517,39.26666667,106.3333333,32.4,0.2,32.6
53518,39.03333333,106.35,8.8,6.0,14.8
53519,39.21666667,106.7666667,11.0,6.7,17.7
53522,40.05,107.8333333,22.8,3.4,26.2
53529,39.08333333,107.9666667,22.6,1.8,24.400000000000002
53533,39.81666667,108.7166667,48.6,1.4,50.0
53543,39.83333333,109.9833333,35.6,4.8,40.4
53545,39.56666667,109.7166667,11.2,0.2,11.399999999999999
53553,39.86666667,111.2166667,58.1,5.2,63.300000000000004
53562,39.91666667,111.6666667,20.1,2.4,22.5
53564,39.38333333,111.15,2.7,1.7,4.4
53565,39.43333333,111.5,36.2,4.3,40.5
53567,39.01666667,111.0,22.0,3.0,25.0
53573,40.0,112.7,66.3,4.4,70.7
